Object ID,MJD(Days),RA,,,Dec,,,U,B,V,R,I,Z,Spectrum,Comments
N2230-01442,8791.515251,3,41,18.0,23,58,00,12.609,10.546,8.810,,,,,
N2230-00478,8791.518211,3,42,55.1,24,29,36,9.966,9.948,9.468,,,,,
N2230-00526,8791.519711,3,44,06.6,24,20,12,12.449,12.115,11.320,,,,,
N2230-00306,8791.521516,3,45,06.5,24,15,50,9.074,8.922,8.580,,,,,
N2230-01585,8791.522012,3,45,12.5,24,28,02,3.740,4.181,4.291,,,,,
N2230-00156,8791.522867,3,45,40.2,24,37,39,10.322,10.266,9.710,,,,,
N2230-01554,8791.528454,3,45,42.4,25,03,26,15.304,14.535,13.439,,,,,
N2230-00319,8791.535872,3,45,43.2,24,16,13,11.401,11.213,10.548,,,,,
N2230-00990,8791.538166,3,45,48.4,24,52,43,13.906,13.058,12.040,,,,,
N2230-01908,8791.543845,3,46,27.3,24,15,18,7.628,7.512,7.394,,,,,
N2230-02089,8791.544644,3,46,27.8,23,35,35,13.555,13.017,12.018,,,,,
N2230-01621,8791.547966,3,46,34.2,23,37,27,8.775,8.461,8.101,,,,,
N2230-01627,8791.548484,3,46,50.5,23,14,22,10.491,10.427,9.903,,,,,
N2230-02081,8791.549219,3,46,59.3,24,31,12,6.654,6.831,6.810,,,,,
N2230-01820,8791.549966,3,47,01.4,24,22,24,14.866,13.781,12.599,,,,,
N2230-02202,8791.559182,3,47,29.1,24,06,18,2.432,2.779,2.869,,,,,
N2230-02192,8791.559800,3,47,36.9,23,36,34,10.047,8.938,7.708,,,,,
N2230-02091,8791.563735,3,47,50.8,24,40,45,16.091,14.960,13.687,,,,,
N2230-02449,8791.583667,3,48,13.4,25,05,56,11.864,11.641,10.903,,,,,
N2230-02207,8791.585672,3,48,20.8,23,25,16,5.050,5.374,5.427,,,,,
N2230-01601,8791.586048,3,48,30.1,24,20,44,7.164,7.072,6.949,,,,,
N2230-01175,8791.587024,3,49,07.5,24,00,40,11.964,11.627,10.830,,,,,
N2230-01127,8791.590949,3,49,25.1,23,47,42,12.512,12.199,11.345,,,,,
N2230-00985,8791.592457,3,49,56.6,24,20,56,7.714,7.638,7.544,,,,,
